era	n_corridas	primera_vista	ultima_vista
ERA1-monolitico (un solo job check, hasta 20/sep ~02:00)	166	2026-09-18T14:41:00Z	2026-09-20T02:17:34Z
ERA0-sin-jobs (cancelada antes de programar ningun job)	1	2026-09-19T23:23:04Z	2026-09-19T23:23:04Z
ERA2-split-3job (suite+adicionales+check, sin guardias)	61	2026-09-20T02:00:01Z	2026-09-20T14:28:56Z
ERA3-mas-guardias (suite+adicionales+guardias+check)	97	2026-09-20T05:33:57Z	2026-09-21T14:16:28Z
ERA4-actual (+preflight-calc, desde PR #948)	5	2026-09-21T06:19:10Z	2026-09-21T15:03:43Z
