url	canasta	programa	anio	carpeta	archivo	formato	bytes_declarados	en_manifiesto
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_81_0317_shp.zip	denue		2017	otro	denue_00_81_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_81_25022015_csv.zip	denue		2015	otro	denue_81_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_81_25022015_shp.zip	denue		2015	otro	denue_81_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_72_0317_csv.zip	denue		2017	otro	denue_00_72_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_72_0317_shp.zip	denue		2017	otro	denue_00_72_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_72_25022015_csv.zip	denue		2015	otro	denue_72_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_72_25022015_shp.zip	denue		2015	otro	denue_72_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_56_0317_csv.zip	denue		2017	otro	denue_00_56_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_56_0317_shp.zip	denue		2017	otro	denue_00_56_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_56_25022015_csv.zip	denue		2015	otro	denue_56_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_56_25022015_shp.zip	denue		2015	otro	denue_56_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_71_0317_csv.zip	denue		2017	otro	denue_00_71_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_71_0317_shp.zip	denue		2017	otro	denue_00_71_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_71_25022015_csv.zip	denue		2015	otro	denue_71_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_71_25022015_shp.zip	denue		2015	otro	denue_71_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_62_0317_csv.zip	denue		2017	otro	denue_00_62_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_62_0317_shp.zip	denue		2017	otro	denue_00_62_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_62_25022015_csv.zip	denue		2015	otro	denue_62_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_62_25022015_shp.zip	denue		2015	otro	denue_62_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_61_0317_csv.zip	denue		2017	otro	denue_00_61_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_61_0317_shp.zip	denue		2017	otro	denue_00_61_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_61_25022015_csv.zip	denue		2015	otro	denue_61_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_61_25022015_shp.zip	denue		2015	otro	denue_61_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_52_0317_csv.zip	denue		2017	otro	denue_00_52_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_52_0317_shp.zip	denue		2017	otro	denue_00_52_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_52_25022015_csv.zip	denue		2015	otro	denue_52_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_52_25022015_shp.zip	denue		2015	otro	denue_52_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_53_0317_csv.zip	denue		2017	otro	denue_00_53_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_53_0317_shp.zip	denue		2017	otro	denue_00_53_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_53_25022015_csv.zip	denue		2015	otro	denue_53_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_53_25022015_shp.zip	denue		2015	otro	denue_53_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_54_0317_csv.zip	denue		2017	otro	denue_00_54_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_54_0317_shp.zip	denue		2017	otro	denue_00_54_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_54_25022015_csv.zip	denue		2015	otro	denue_54_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_54_25022015_shp.zip	denue		2015	otro	denue_54_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_48-49_0317_csv.zip	denue		2017	otro	denue_00_48-49_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_48-49_0317_shp.zip	denue		2017	otro	denue_00_48-49_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_48-49_25022015_csv.zip	denue		2015	otro	denue_48-49_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_48-49_25022015_shp.zip	denue		2015	otro	denue_48-49_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/denue_diccionario_de_datos.pdf	denue			otro	denue_diccionario_de_datos.pdf	pdf		no
https://www.inegi.org.mx/contenidos/masiva/denue/denue_mdm_pmd.zip	denue			otro	denue_mdm_pmd.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46112-46311_0317_csv.zip	denue		2017	otro	denue_00_46112-46311_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46112-46311_0317_shp.zip	denue		2017	otro	denue_00_46112-46311_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46321-46531_0317_csv.zip	denue		2017	otro	denue_00_46321-46531_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46321-46531_0317_shp.zip	denue		2017	otro	denue_00_46321-46531_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46591-46911_0317_csv.zip	denue		2017	otro	denue_00_46591-46911_0317_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2017_03/denue_00_46591-46911_0317_shp.zip	denue		2017	otro	denue_00_46591-46911_0317_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46112-46311_25022015_csv.zip	denue		2015	otro	denue_46112-46311_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46112-46311_25022015_shp.zip	denue		2015	otro	denue_46112-46311_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46321-46531_25022015_csv.zip	denue		2015	otro	denue_46321-46531_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46321-46531_25022015_shp.zip	denue		2015	otro	denue_46321-46531_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46591-46911_25022015_csv.zip	denue		2015	otro	denue_46591-46911_25022015_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2015/denue_46591-46911_25022015_shp.zip	denue		2015	otro	denue_46591-46911_25022015_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_93_0116_csv.zip	denue		2016	otro	denue_00_93_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_93_0116_shp.zip	denue		2016	otro	denue_00_93_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_11_0116_csv.zip	denue		2016	otro	denue_00_11_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_11_0116_shp.zip	denue		2016	otro	denue_00_11_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_43_0116_csv.zip	denue		2016	otro	denue_00_43_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_43_0116_shp.zip	denue		2016	otro	denue_00_43_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46111_0116_csv.zip	denue		2016	otro	denue_00_46111_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46111_0116_shp.zip	denue		2016	otro	denue_00_46111_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_23_0116_csv.zip	denue		2016	otro	denue_00_23_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_23_0116_shp.zip	denue		2016	otro	denue_00_23_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_55_0116_csv.zip	denue		2016	otro	denue_00_55_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_55_0116_shp.zip	denue		2016	otro	denue_00_55_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_22_0116_csv.zip	denue		2016	otro	denue_00_22_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_22_0116_shp.zip	denue		2016	otro	denue_00_22_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_31-33_0116_csv.zip	denue		2016	otro	denue_00_31-33_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_31-33_0116_shp.zip	denue		2016	otro	denue_00_31-33_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_51_0116_csv.zip	denue		2016	otro	denue_00_51_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_51_0116_shp.zip	denue		2016	otro	denue_00_51_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_21_0116_csv.zip	denue		2016	otro	denue_00_21_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_21_0116_shp.zip	denue		2016	otro	denue_00_21_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_81_0116_csv.zip	denue		2016	otro	denue_00_81_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_81_0116_shp.zip	denue		2016	otro	denue_00_81_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_72_0116_csv.zip	denue		2016	otro	denue_00_72_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_72_0116_shp.zip	denue		2016	otro	denue_00_72_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_56_0116_csv.zip	denue		2016	otro	denue_00_56_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_56_0116_shp.zip	denue		2016	otro	denue_00_56_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_71_0116_csv.zip	denue		2016	otro	denue_00_71_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_71_0116_shp.zip	denue		2016	otro	denue_00_71_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_62_0116_csv.zip	denue		2016	otro	denue_00_62_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_62_0116_shp.zip	denue		2016	otro	denue_00_62_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_61_0116_csv.zip	denue		2016	otro	denue_00_61_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_61_0116_shp.zip	denue		2016	otro	denue_00_61_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_52_0116_csv.zip	denue		2016	otro	denue_00_52_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_52_0116_shp.zip	denue		2016	otro	denue_00_52_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_53_0116_csv.zip	denue		2016	otro	denue_00_53_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_53_0116_shp.zip	denue		2016	otro	denue_00_53_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_54_0116_csv.zip	denue		2016	otro	denue_00_54_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_54_0116_shp.zip	denue		2016	otro	denue_00_54_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_48-49_0116_csv.zip	denue		2016	otro	denue_00_48-49_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_48-49_0116_shp.zip	denue		2016	otro	denue_00_48-49_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46112-46311_0116_csv.zip	denue		2016	otro	denue_00_46112-46311_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46112-46311_0116_shp.zip	denue		2016	otro	denue_00_46112-46311_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46321-46531_0116_csv.zip	denue		2016	otro	denue_00_46321-46531_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46321-46531_0116_shp.zip	denue		2016	otro	denue_00_46321-46531_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46591-46911_0116_csv.zip	denue		2016	otro	denue_00_46591-46911_0116_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_01/denue_00_46591-46911_0116_shp.zip	denue		2016	otro	denue_00_46591-46911_0116_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_93_1016_csv.zip	denue		2016	otro	denue_00_93_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_93_1016_shp.zip	denue		2016	otro	denue_00_93_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_11_1016_csv.zip	denue		2016	otro	denue_00_11_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_11_1016_shp.zip	denue		2016	otro	denue_00_11_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_43_1016_csv.zip	denue		2016	otro	denue_00_43_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_43_1016_shp.zip	denue		2016	otro	denue_00_43_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_46111_1016_csv.zip	denue		2016	otro	denue_00_46111_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_46111_1016_shp.zip	denue		2016	otro	denue_00_46111_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_23_1016_csv.zip	denue		2016	otro	denue_00_23_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_23_1016_shp.zip	denue		2016	otro	denue_00_23_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_55_1016_csv.zip	denue		2016	otro	denue_00_55_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_55_1016_shp.zip	denue		2016	otro	denue_00_55_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_22_1016_csv.zip	denue		2016	otro	denue_00_22_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_22_1016_shp.zip	denue		2016	otro	denue_00_22_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_31-33_1016_csv.zip	denue		2016	otro	denue_00_31-33_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_31-33_1016_shp.zip	denue		2016	otro	denue_00_31-33_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_51_1016_csv.zip	denue		2016	otro	denue_00_51_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_51_1016_shp.zip	denue		2016	otro	denue_00_51_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_21_1016_csv.zip	denue		2016	otro	denue_00_21_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_21_1016_shp.zip	denue		2016	otro	denue_00_21_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_81_1016_csv.zip	denue		2016	otro	denue_00_81_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_81_1016_shp.zip	denue		2016	otro	denue_00_81_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_72_1016_csv.zip	denue		2016	otro	denue_00_72_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_72_1016_shp.zip	denue		2016	otro	denue_00_72_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_56_1016_csv.zip	denue		2016	otro	denue_00_56_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_56_1016_shp.zip	denue		2016	otro	denue_00_56_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_71_1016_csv.zip	denue		2016	otro	denue_00_71_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_71_1016_shp.zip	denue		2016	otro	denue_00_71_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_62_1016_csv.zip	denue		2016	otro	denue_00_62_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_62_1016_shp.zip	denue		2016	otro	denue_00_62_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_61_1016_csv.zip	denue		2016	otro	denue_00_61_1016_csv.zip	zip		no
