clave	familia_id	ruta	sha256	dominio_primario	rol
genero	GEN	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md	e317fefe6af96990a324a363c33255b62f5376e09ec66f7371d1dd4e31c63df7	GENERO	tematico
religiosidad	RELIG	corpus/reports/Religiosidad_y_Psicología_del_Mexicano_Contemporáneo__Moral__Afrontamiento__Consumo_e_Identidad_en_Transformación.md	dfb84e0854fdc089e4dd7e57e9c234476a4b3ac896947babf55ffc712ef46722	RELIGIOSIDAD	tematico
conocimiento	CONOC	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	CONOCIMIENTO	tematico
salud-mental	SALMEN	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	fb2ddd662f703e8a6752a3dc690bf992741aaaa67c1bdbbf89905aca245a1f18	SALUD_MENTAL	tematico
sancion-horizontal	SANC	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	916eb783b1a23dbafc9136faf1fcac2736b21774264d191c1c1642818f55deb7	SANCION_SOCIAL	tematico_transversal
vejez	VEJEZ	corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	bed369718e1bbfb70d65982c727c5b5b5c8509e7c29c4156e72f075df4e4b21b	FAMILIA_CUIDADOS	tematico
apuestas	APUEST	corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	329d8c81ce99bc29a1b1f8297a5d6779e08acbf99cda7d43abc06b920397fd54	CONSUMO	forense
aspiracional	ASPIR	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	76a7b8ac6fa420fbaefd7027d84a1385f9dbb85b8fa627119e9aca8aa37c825b	CONSUMO	forense
credito-facil	CRFAC	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	cb16d3980c6b7751ef2c0d5fb492f1bdd735afb40552b7386fc328fbea944440	DINERO	forense
credito-popular	CRPOP	corpus/forense/Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md	ed13e9519896538e484394b8e5448152b3d5ddcac21add246c4f718d71a15aed	DINERO	forense
clientelismo	CLIENT	corpus/forense/Validación_Forense_del_Clientelismo_Electoral_en_México__Agencia_del_Votante__Programas_Sociales_y_Límites_de_la_Compra_de_Voto.md	baa568e2f5023ef9ae41cb6f5c12f2c2ec65d51e8eca3b4a4fa740065922693f	POLITICA	forense
compass-4	CRPOP	corpus/forense/compass-4-e29a28d4-credito-popular-2026.md	ea74603e6a597f3c036cfc98aeaab2877e75ff3407c158da0bc851bef1a8f03f	DINERO	complemento_forense_credito_popular
